2021-07-06 12:06:06,374 |  INFO | [http-nio-8080-exec-2] | org.springframework.web.servlet.FrameworkServlet:initServletBean	 | Initializing Servlet 'dispatcherServlet' 
2021-07-06 12:06:06,377 |  INFO | [http-nio-8080-exec-2] | org.springframework.web.servlet.FrameworkServlet:initServletBean	 | Completed initialization in 2 ms 
2021-07-06 12:06:06,714 |  WARN | [http-nio-8080-exec-2] | com.example.demo.controller.StudentController:testLogger	 | testing   
2021-07-06 12:06:59,898 |  INFO | [RMI TCP Connection(10)-127.0.0.1] | org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin:shutdown	 | Application shutdown requested. 
2021-07-06 12:07:03,208 |  INFO | [main] | org.springframework.boot.StartupInfoLogger:%PARSER_ERROR[M]	 | Starting SpringDemoApplication using Java 16.0.1 on brent with PID 12212 (/home/snehjeetc/SpringDev/SpringDemo/target/classes started by snehjeetc in /home/snehjeetc/SpringDev/SpringDemo) 
2021-07-06 12:07:03,217 |  INFO | [main] | org.springframework.boot.SpringApplication:%PARSER_ERROR[M]	 | No active profile set, falling back to default profiles: default 
2021-07-06 12:07:05,522 |  INFO | [main] | org.springframework.boot.web.embedded.tomcat.TomcatWebServer:%PARSER_ERROR[M]	 | Tomcat initialized with port(s): 8080 (http) 
2021-07-06 12:07:05,538 |  INFO | [main] | org.apache.juli.logging.DirectJDKLog:%PARSER_ERROR[M]	 | Starting service [Tomcat] 
2021-07-06 12:07:05,539 |  INFO | [main] | org.apache.juli.logging.DirectJDKLog:%PARSER_ERROR[M]	 | Starting Servlet engine: [Apache Tomcat/9.0.48] 
2021-07-06 12:07:05,662 |  INFO | [main] | org.apache.juli.logging.DirectJDKLog:%PARSER_ERROR[M]	 | Initializing Spring embedded WebApplicationContext 
2021-07-06 12:07:05,662 |  INFO | [main] | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:%PARSER_ERROR[M]	 | Root WebApplicationContext: initialization completed in 2269 ms 
2021-07-06 12:07:06,240 |  INFO | [main] | org.springframework.boot.web.embedded.tomcat.TomcatWebServer:%PARSER_ERROR[M]	 | Tomcat started on port(s): 8080 (http) with context path '' 
2021-07-06 12:07:06,262 |  INFO | [main] | org.springframework.boot.StartupInfoLogger:%PARSER_ERROR[M]	 | Started SpringDemoApplication in 3.69 seconds (JVM running for 5.168) 
2021-07-06 12:07:06,266 |  INFO | [main] | com.example.demo.SpringDemoApplication:%PARSER_ERROR[M]	 | starting spring app 
2021-07-06 12:07:25,202 |  INFO | [http-nio-8080-exec-3] | org.apache.juli.logging.DirectJDKLog:%PARSER_ERROR[M]	 | Initializing Spring DispatcherServlet 'dispatcherServlet' 
2021-07-06 12:07:25,209 |  INFO | [http-nio-8080-exec-3] | org.springframework.web.servlet.FrameworkServlet:%PARSER_ERROR[M]	 | Initializing Servlet 'dispatcherServlet' 
2021-07-06 12:07:25,219 |  INFO | [http-nio-8080-exec-3] | org.springframework.web.servlet.FrameworkServlet:%PARSER_ERROR[M]	 | Completed initialization in 3 ms 
2021-07-06 12:07:25,370 |  WARN | [http-nio-8080-exec-3] | com.example.demo.controller.StudentController:%PARSER_ERROR[M]	 | testing   
2021-07-06 12:09:22,167 |  INFO | [RMI TCP Connection(11)-127.0.0.1] | org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin:%PARSER_ERROR[M]	 | Application shutdown requested. 
2021-07-06 12:09:25,275 |  INFO | [main] | %PARSER_ERROR[l]	 | Starting SpringDemoApplication using Java 16.0.1 on brent with PID 12381 (/home/snehjeetc/SpringDev/SpringDemo/target/classes started by snehjeetc in /home/snehjeetc/SpringDev/SpringDemo) 
2021-07-06 12:09:25,279 |  INFO | [main] | %PARSER_ERROR[l]	 | No active profile set, falling back to default profiles: default 
2021-07-06 12:09:26,626 |  INFO | [main] | %PARSER_ERROR[l]	 | Tomcat initialized with port(s): 8080 (http) 
2021-07-06 12:09:26,641 |  INFO | [main] | %PARSER_ERROR[l]	 | Starting service [Tomcat] 
2021-07-06 12:09:26,642 |  INFO | [main] | %PARSER_ERROR[l]	 | Starting Servlet engine: [Apache Tomcat/9.0.48] 
2021-07-06 12:09:26,747 |  INFO | [main] | %PARSER_ERROR[l]	 | Initializing Spring embedded WebApplicationContext 
2021-07-06 12:09:26,747 |  INFO | [main] | %PARSER_ERROR[l]	 | Root WebApplicationContext: initialization completed in 1417 ms 
2021-07-06 12:09:27,459 |  INFO | [main] | %PARSER_ERROR[l]	 | Tomcat started on port(s): 8080 (http) with context path '' 
2021-07-06 12:09:27,474 |  INFO | [main] | %PARSER_ERROR[l]	 | Started SpringDemoApplication in 2.72 seconds (JVM running for 3.989) 
2021-07-06 12:09:27,479 |  INFO | [main] | %PARSER_ERROR[l]	 | starting spring app 
2021-07-06 12:09:49,316 |  INFO | [http-nio-8080-exec-2] | %PARSER_ERROR[l]	 | Initializing Spring DispatcherServlet 'dispatcherServlet' 
2021-07-06 12:09:49,318 |  INFO | [http-nio-8080-exec-2] | %PARSER_ERROR[l]	 | Initializing Servlet 'dispatcherServlet' 
2021-07-06 12:09:49,320 |  INFO | [http-nio-8080-exec-2] | %PARSER_ERROR[l]	 | Completed initialization in 2 ms 
2021-07-06 12:09:49,381 |  WARN | [http-nio-8080-exec-2] | %PARSER_ERROR[l]	 | testing   
2021-07-06 13:10:04,631 |  INFO | [RMI TCP Connection(70)-127.0.0.1] | %PARSER_ERROR[l]	 | Application shutdown requested. 
2021-07-06 13:10:04,778 |  INFO | [RMI TCP Connection(71)-127.0.0.1] | %PARSER_ERROR[l]	 | Application shutdown requested. 
2021-07-06 13:15:33,521 |  INFO | [main] | org.springframework.boot.StartupInfoLogger:%PARSER_ERROR[M]	 | Starting SpringDemoApplication using Java 16.0.1 on brent with PID 16554 (/home/snehjeetc/SpringDev/SpringDemo/target/classes started by snehjeetc in /home/snehjeetc/SpringDev/SpringDemo) 
2021-07-06 13:15:33,559 |  INFO | [main] | org.springframework.boot.SpringApplication:%PARSER_ERROR[M]	 | No active profile set, falling back to default profiles: default 
2021-07-06 13:15:36,218 |  INFO | [main] | org.springframework.boot.web.embedded.tomcat.TomcatWebServer:%PARSER_ERROR[M]	 | Tomcat initialized with port(s): 8080 (http) 
2021-07-06 13:15:36,256 |  INFO | [main] | org.apache.juli.logging.DirectJDKLog:%PARSER_ERROR[M]	 | Starting service [Tomcat] 
2021-07-06 13:15:36,256 |  INFO | [main] | org.apache.juli.logging.DirectJDKLog:%PARSER_ERROR[M]	 | Starting Servlet engine: [Apache Tomcat/9.0.48] 
2021-07-06 13:15:36,364 |  INFO | [main] | org.apache.juli.logging.DirectJDKLog:%PARSER_ERROR[M]	 | Initializing Spring embedded WebApplicationContext 
2021-07-06 13:15:36,365 |  INFO | [main] | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:%PARSER_ERROR[M]	 | Root WebApplicationContext: initialization completed in 2456 ms 
2021-07-06 13:15:37,118 |  INFO | [main] | org.springframework.boot.web.embedded.tomcat.TomcatWebServer:%PARSER_ERROR[M]	 | Tomcat started on port(s): 8080 (http) with context path '' 
2021-07-06 13:15:37,133 |  INFO | [main] | org.springframework.boot.StartupInfoLogger:%PARSER_ERROR[M]	 | Started SpringDemoApplication in 5.27 seconds (JVM running for 8.929) 
2021-07-06 13:15:37,140 |  INFO | [main] | com.example.demo.SpringDemoApplication:%PARSER_ERROR[M]	 | starting spring app 
2021-07-06 13:16:07,823 |  INFO | [RMI TCP Connection(9)-127.0.0.1] | org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin:%PARSER_ERROR[M]	 | Application shutdown requested. 
2021-07-06 13:16:10,208 |  INFO | [main] | org.springframework.boot.StartupInfoLogger:logStarting.55	 | Starting SpringDemoApplication using Java 16.0.1 on brent with PID 16644 (/home/snehjeetc/SpringDev/SpringDemo/target/classes started by snehjeetc in /home/snehjeetc/SpringDev/SpringDemo) 
2021-07-06 13:16:10,212 |  INFO | [main] | org.springframework.boot.SpringApplication:logStartupProfileInfo.659	 | No active profile set, falling back to default profiles: default 
2021-07-06 13:16:11,522 |  INFO | [main] | org.springframework.boot.web.embedded.tomcat.TomcatWebServer:initialize.108	 | Tomcat initialized with port(s): 8080 (http) 
2021-07-06 13:16:11,535 |  INFO | [main] | org.apache.juli.logging.DirectJDKLog:log.173	 | Starting service [Tomcat] 
2021-07-06 13:16:11,535 |  INFO | [main] | org.apache.juli.logging.DirectJDKLog:log.173	 | Starting Servlet engine: [Apache Tomcat/9.0.48] 
2021-07-06 13:16:11,628 |  INFO | [main] | org.apache.juli.logging.DirectJDKLog:log.173	 | Initializing Spring embedded WebApplicationContext 
2021-07-06 13:16:11,629 |  INFO | [main] | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:prepareWebApplicationContext.290	 | Root WebApplicationContext: initialization completed in 1355 ms 
2021-07-06 13:16:12,185 |  INFO | [main] | org.springframework.boot.web.embedded.tomcat.TomcatWebServer:start.220	 | Tomcat started on port(s): 8080 (http) with context path '' 
2021-07-06 13:16:12,199 |  INFO | [main] | org.springframework.boot.StartupInfoLogger:logStarted.61	 | Started SpringDemoApplication in 2.469 seconds (JVM running for 3.786) 
2021-07-06 13:16:12,202 |  INFO | [main] | com.example.demo.SpringDemoApplication:main.14	 | starting spring app 
2021-07-06 13:16:58,816 |  INFO | [http-nio-8080-exec-2] | org.apache.juli.logging.DirectJDKLog:log.173	 | Initializing Spring DispatcherServlet 'dispatcherServlet' 
2021-07-06 13:16:58,817 |  INFO | [http-nio-8080-exec-2] | org.springframework.web.servlet.FrameworkServlet:initServletBean.525	 | Initializing Servlet 'dispatcherServlet' 
2021-07-06 13:16:58,820 |  INFO | [http-nio-8080-exec-2] | org.springframework.web.servlet.FrameworkServlet:initServletBean.547	 | Completed initialization in 2 ms 
